tune,bar,voice,onset_in_bar_wholes,duration_wholes,pitches,midi,chord,source
1,1,MEL,0,3/8,F4,65,,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,MEL,3/8,1/8,Eb4,63,,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,MEL,1/2,1/8,D4,62,,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,MEL,5/8,1/8,F4,65,,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,MEL,3/4,3/16,Bb4,70,,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,MEL,15/16,1/16,C5,72,,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,RH,0,3/8,F4,65,,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,RH,3/8,1/8,Eb4,63,,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,RH,1/2,1/8,D4,62,,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,RH,5/8,1/8,F4,65,,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,RH,3/4,3/16,Bb4,70,,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,RH,15/16,1/16,C5,72,,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,LH,0,1/4,Bb2,46,,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,LH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,LH,1/2,1/4,Bb2,46,,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,LH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,CH,0,1/4,,,Bb,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,CH,1/4,1/4,,,Bb,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,CH,1/2,1/4,,,Bb,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,1,CH,3/4,1/4,,,Bb,"p.3 (scan 002) system 1, bar 1 of 3 -- piano introduction"
1,2,MEL,0,1/2,D5,74,,"p.3 (scan 002) system 1, bar 2 of 3"
1,2,MEL,1/2,1/4,Bb4,70,,"p.3 (scan 002) system 1, bar 2 of 3"
1,2,MEL,7/8,1/8,B4,71,,"p.3 (scan 002) system 1, bar 2 of 3"
1,2,RH,0,1/2,D5,74,,"p.3 (scan 002) system 1, bar 2 of 3"
1,2,RH,1/2,1/4,Bb4,70,,"p.3 (scan 002) system 1, bar 2 of 3"
1,2,RH,7/8,1/8,B4,71,,"p.3 (scan 002) system 1, bar 2 of 3"
1,2,LH,0,1/4,Bb2,46,,"p.3 (scan 002) system 1, bar 2 of 3"
1,2,LH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 1, bar 2 of 3"
1,2,LH,1/2,1/4,Bb2,46,,"p.3 (scan 002) system 1, bar 2 of 3"
1,2,LH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 1, bar 2 of 3"
1,2,CH,0,1/4,,,Bb,"p.3 (scan 002) system 1, bar 2 of 3"
1,2,CH,1/4,1/4,,,Bb,"p.3 (scan 002) system 1, bar 2 of 3"
1,2,CH,1/2,1/4,,,Bb,"p.3 (scan 002) system 1, bar 2 of 3"
1,2,CH,3/4,1/4,,,Bb,"p.3 (scan 002) system 1, bar 2 of 3"
1,3,MEL,0,1/4,C5,72,,"p.3 (scan 002) system 1, bar 3 of 3"
1,3,MEL,1/4,1/4,C5,72,,"p.3 (scan 002) system 1, bar 3 of 3"
1,3,MEL,1/2,1/4,Bb4,70,,"p.3 (scan 002) system 1, bar 3 of 3"
1,3,MEL,3/4,1/4,A4,69,,"p.3 (scan 002) system 1, bar 3 of 3"
1,3,RH,0,1/4,C5,72,,"p.3 (scan 002) system 1, bar 3 of 3"
1,3,RH,1/4,1/4,C5,72,,"p.3 (scan 002) system 1, bar 3 of 3"
1,3,RH,1/2,1/4,Bb4,70,,"p.3 (scan 002) system 1, bar 3 of 3"
1,3,RH,3/4,1/4,A4,69,,"p.3 (scan 002) system 1, bar 3 of 3"
1,3,LH,0,1/4,Eb2,39,,"p.3 (scan 002) system 1, bar 3 of 3"
1,3,LH,1/4,1/4,Eb3 G3 C4,51 55 60,,"p.3 (scan 002) system 1, bar 3 of 3"
1,3,LH,1/2,1/4,F2,41,,"p.3 (scan 002) system 1, bar 3 of 3"
1,3,LH,3/4,1/4,F3 C4 Eb4,53 60 63,,"p.3 (scan 002) system 1, bar 3 of 3"
1,3,CH,0,1/4,,,Cm/Eb,"p.3 (scan 002) system 1, bar 3 of 3"
1,3,CH,1/4,1/4,,,Cm/Eb,"p.3 (scan 002) system 1, bar 3 of 3"
1,3,CH,1/2,1/4,,,Bb/F,"p.3 (scan 002) system 1, bar 3 of 3"
1,3,CH,3/4,1/4,,,F7,"p.3 (scan 002) system 1, bar 3 of 3"
1,4,MEL,7/8,1/8,F4,65,,"p.3 (scan 002) system 2, bar 1 of 3 -- verse 1 begins (pickup 'Mine')"
1,4,RH,0,1/4,Bb4,70,,"p.3 (scan 002) system 2, bar 1 of 3 -- verse 1 begins (pickup 'Mine')"
1,4,RH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 2, bar 1 of 3 -- verse 1 begins (pickup 'Mine')"
1,4,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 2, bar 1 of 3 -- verse 1 begins (pickup 'Mine')"
1,4,RH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 2, bar 1 of 3 -- verse 1 begins (pickup 'Mine')"
1,4,LH,0,1/4,Bb3 D4,58 62,,"p.3 (scan 002) system 2, bar 1 of 3 -- verse 1 begins (pickup 'Mine')"
1,4,LH,1/4,1/4,Bb2,46,,"p.3 (scan 002) system 2, bar 1 of 3 -- verse 1 begins (pickup 'Mine')"
1,4,LH,1/2,1/4,Bb2,46,,"p.3 (scan 002) system 2, bar 1 of 3 -- verse 1 begins (pickup 'Mine')"
1,4,LH,3/4,1/4,Bb2,46,,"p.3 (scan 002) system 2, bar 1 of 3 -- verse 1 begins (pickup 'Mine')"
1,4,CH,0,1/4,,,Bb,"p.3 (scan 002) system 2, bar 1 of 3 -- verse 1 begins (pickup 'Mine')"
1,4,CH,1/4,1/4,,,Bb,"p.3 (scan 002) system 2, bar 1 of 3 -- verse 1 begins (pickup 'Mine')"
1,4,CH,1/2,1/4,,,Bb,"p.3 (scan 002) system 2, bar 1 of 3 -- verse 1 begins (pickup 'Mine')"
1,4,CH,3/4,1/4,,,Bb,"p.3 (scan 002) system 2, bar 1 of 3 -- verse 1 begins (pickup 'Mine')"
1,5,MEL,0,1/8,F4,65,,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,MEL,1/8,1/8,F4,65,,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,MEL,1/4,3/16,F4,65,,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,MEL,7/16,1/16,Eb4,63,,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,MEL,1/2,3/16,D4,62,,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,MEL,11/16,1/16,F4,65,,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,MEL,3/4,3/16,Bb4,70,,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,MEL,15/16,1/16,C5,72,,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,RH,0,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,RH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,RH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,LH,0,1/4,Bb2,46,,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,LH,1/4,1/4,Bb2,46,,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,LH,1/2,1/4,Bb2,46,,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,LH,3/4,1/4,Bb2,46,,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,CH,0,1/4,,,Bb,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,CH,1/4,1/4,,,Bb,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,CH,1/2,1/4,,,Bb,"p.3 (scan 002) system 2, bar 2 of 3"
1,5,CH,3/4,1/4,,,Bb,"p.3 (scan 002) system 2, bar 2 of 3"
1,6,MEL,0,3/16,D5,74,,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,MEL,3/16,1/16,D5,74,,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,MEL,1/4,3/16,D5,74,,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,MEL,7/16,1/16,C5,72,,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,MEL,1/2,1/4,Bb4,70,,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,MEL,7/8,1/16,Bb4,70,,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,MEL,15/16,1/16,Bb4,70,,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,RH,0,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,RH,1/4,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,RH,1/2,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,RH,3/4,1/4,F3 Bb3 D4,53 58 62,,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,LH,0,1/4,Bb2,46,,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,LH,1/4,1/4,Bb2,46,,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,LH,1/2,1/4,Bb2,46,,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,LH,3/4,1/4,Bb2,46,,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,CH,0,1/4,,,Bb,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,CH,1/4,1/4,,,Bb,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,CH,1/2,1/4,,,Bb,"p.3 (scan 002) system 2, bar 3 of 3"
1,6,CH,3/4,1/4,,,Bb,"p.3 (scan 002) system 2, bar 3 of 3"
1,7,MEL,0,3/16,G4,67,,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,MEL,3/16,1/16,G4,67,,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,MEL,1/4,3/16,G4,67,,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,MEL,7/16,1/16,A4,69,,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,MEL,1/2,3/16,Bb4,70,,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,MEL,11/16,1/16,Bb4,70,,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,MEL,3/4,3/16,A4,69,,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,MEL,15/16,1/16,G4,67,,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,RH,0,1/4,G3 Bb3 Eb4,55 58 63,,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,RH,1/4,1/4,G3 Bb3 Eb4,55 58 63,,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,RH,1/2,1/4,G3 Bb3 Eb4,55 58 63,,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,RH,3/4,1/4,G3 Bb3 Eb4,55 58 63,,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,LH,0,1/4,Eb3,51,,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,LH,1/4,1/4,Eb3,51,,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,LH,1/2,1/4,Eb3,51,,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,LH,3/4,1/4,Eb3,51,,"p.3 (scan 002) system 3, bar 1 of 3"
1,7,CH,0,1/4,,,Eb,"p.3 (scan 002) system 3, bar 1 of 3"
